ID, Data[]
15040,20 2.582753 -0.4172297 -0.5587258 0 0 0 0 0 0 42 3.753147 -0.899781 -0.06376502 0 0 0 0 0 0 64 4.498372 -1.289928 0.3736098 0 0 0 0 0 0 86 5.023608 -1.473076 0.3718651 0 0 0 0 0 0 109 5.163726 -1.402564 -0.05144099 0 0 0 0 0 0 131 5.178565 -1.162394 -0.6061034 0 0 0 0 0 0 153 5.207998 -0.6641935 -0.9733498 0 0 0 0 0 0 176 4.966232 -0.2581243 -1.117575 0 0 0 0 0 0 198 4.683239 -0.3075908 -1.004919 0 0 0 0 0 0 220 4.389676 -0.4881583 -0.5743225 0 0 0 0 0 0 243 4.059219 -0.8431854 0.4871508 0 0 0 0 0 0 266 3.15076 -1.032943 1.293611 0 0 0 0 0 0 287 2.073132 -1.061079 1.650079 0 0 0 0 0 0 310 1.245974 -1.08123 2.032237 0 0 0 0 0 0 332 0.6764672 -1.134557 2.100399 0 0 0 0 0 0 
15800,20 0.4385239 -1.799116 0.5267252 0 0 0 0 0 0 42 1.397074 -1.804469 -0.07594424 0 0 0 0 0 0 65 2.221217 -1.771357 -0.4902859 0 0 0 0 0 0 87 2.769373 -1.790357 -0.2253454 0 0 0 0 0 0 110 3.489725 -1.926184 0.2756005 0 0 0 0 0 0 132 4.203742 -2.066952 0.2795013 0 0 0 0 0 0 154 4.978568 -2.102536 0.2509213 0 0 0 0 0 0 176 5.677977 -2.030933 0.01497674 0 0 0 0 0 0 198 6.328706 -1.95237 0.3822986 0 0 0 0 0 0 221 6.997815 -2.411898 1.49667 0 0 0 0 0 0 243 7.303268 -3.083876 2.32425 0 0 0 0 0 0 266 6.92113 -2.95351 2.816984 0 0 0 0 0 0 288 5.480384 -2.080653 2.46173 0 0 0 0 0 0 310 3.54858 -1.325654 1.100168 0 0 0 0 0 0 333 2.191606 -0.9041874 0.4255565 0 0 0 0 0 0 355 1.152987 -0.5587481 -0.02030468 0 0 0 0 0 0 
17542,22 -2.179499 -0.3348973 1.619423 0 0 0 0 0 0 44 -2.904031 -0.4178809 1.152984 0 0 0 0 0 0 66 -3.428859 -0.5217932 0.7094463 0 0 0 0 0 0 89 -3.721389 -0.6978467 0.7113708 0 0 0 0 0 0 111 -4.563844 -1.016186 0.6748079 0 0 0 0 0 0 134 -5.502234 -1.328176 0.6808871 0 0 0 0 0 0 156 -6.332095 -1.799466 1.364632 0 0 0 0 0 0 178 -6.940989 -2.009191 2.469379 0 0 0 0 0 0 200 -7.167176 -1.72651 2.432825 0 0 0 0 0 0 223 -7.091086 -1.016432 1.426066 0 0 0 0 0 0 245 -6.457685 -0.4142849 0.3059534 0 0 0 0 0 0 268 -5.482989 -0.2382586 -0.5441216 0 0 0 0 0 0 290 -4.643182 -0.490247 -1.093793 0 0 0 0 0 0 
18168,20 -1.995288 0.7718609 -0.1767225 0 0 0 0 0 0 43 -2.439906 1.131669 -0.211525 0 0 0 0 0 0 64 -3.247597 1.313684 -0.1083928 0 0 0 0 0 0 88 -4.80303 1.500591 -0.4238186 0 0 0 0 0 0 109 -5.956031 1.581822 -0.7107975 0 0 0 0 0 0 132 -6.755134 1.556888 -0.7608957 0 0 0 0 0 0 154 -7.416544 1.232781 -1.324285 0 0 0 0 0 0 176 -7.972474 0.7908819 -2.133753 0 0 0 0 0 0 200 -8.153844 0.246967 -2.288091 0 0 0 0 0 0 221 -7.696282 -0.4798712 -1.874111 0 0 0 0 0 0 243 -6.97214 -0.8376617 -1.608462 0 0 0 0 0 0 265 -5.507796 -0.9290739 -0.9315673 0 0 0 0 0 0 288 -4.047821 -0.6377381 -0.5415003 0 0 0 0 0 0 
18693,20 2.291278 -1.223618 -1.619117 0 0 0 0 0 0 42 3.471318 -1.430529 -1.591017 0 0 0 0 0 0 65 5.343797 -1.719012 -1.335579 0 0 0 0 0 0 87 7.472778 -2.023465 -0.7304605 0 0 0 0 0 0 110 9.228098 -2.430681 -0.2388831 0 0 0 0 0 0 131 9.612166 -2.482094 -0.1694179 0 0 0 0 0 0 154 8.901182 -2.491791 -0.1556845 0 0 0 0 0 0 176 7.372822 -2.32984 -0.4885451 0 0 0 0 0 0 
19285,20 1.289707 -0.6078229 -1.053934 0 0 0 0 0 0 42 1.012359 -0.7711664 -0.8993901 0 0 0 0 0 0 64 1.63964 -1.366503 -0.3934641 0 0 0 0 0 0 87 2.345253 -1.903029 -0.1314673 0 0 0 0 0 0 109 2.744541 -2.122307 0.2328968 0 0 0 0 0 0 131 3.294309 -2.179047 0.2262203 0 0 0 0 0 0 154 4.545416 -2.051763 -0.3892606 0 0 0 0 0 0 176 5.839226 -1.817067 -0.8353302 0 0 0 0 0 0 198 7.064744 -1.652288 -1.061225 0 0 0 0 0 0 221 8.242452 -1.770112 -0.614193 0 0 0 0 0 0 243 9.278568 -1.671438 -0.3484699 0 0 0 0 0 0 265 9.80134 -1.313348 -0.2954628 0 0 0 0 0 0 288 8.399393 -0.7194719 0.7299111 0 0 0 0 0 0 
19788,20 -1.61522 0.06958774 -0.006815732 0 0 0 0 0 0 43 -2.52789 -0.3734629 0.2276524 0 0 0 0 0 0 65 -3.67363 -0.7841295 0.2840376 0 0 0 0 0 0 87 -4.47243 -1.058927 0.3345499 0 0 0 0 0 0 109 -5.322416 -1.402997 1.1343 0 0 0 0 0 0 131 -6.528296 -1.932091 1.738729 0 0 0 0 0 0 154 -7.369589 -2.133097 1.803996 0 0 0 0 0 0 176 -7.714603 -2.13045 1.745321 0 0 0 0 0 0 198 -7.4094 -1.960563 1.141239 0 0 0 0 0 0 222 -6.823162 -1.627817 0.7299261 0 0 0 0 0 0 243 -6.608888 -1.418012 0.5552552 0 0 0 0 0 0 266 -6.09678 -1.28642 0.5750519 0 0 0 0 0 0 
20313,20 -2.322649 0.05256626 0.9782194 0 0 0 0 0 0 42 -3.191341 0.4060856 1.488387 0 0 0 0 0 0 64 -4.397154 0.7810465 0.632704 0 0 0 0 0 0 87 -6.138093 1.290328 -1.210808 0 0 0 0 0 0 109 -7.219234 1.468101 -2.244707 0 0 0 0 0 0 132 -8.669936 1.346481 -2.05455 0 0 0 0 0 0 154 -9.608854 0.8973193 -2.062751 0 0 0 0 0 0 176 -10.81744 0.2082851 -2.949257 0 0 0 0 0 0 199 -10.60282 -0.1299589 -1.987235 0 0 0 0 0 0 221 -8.218596 0.1917927 -1.847805 0 0 0 0 0 0 243 -5.38987 -0.07423973 -2.914835 0 0 0 0 0 0 
21207,20 1.009957 -1.390856 -0.8094999 0 0 0 0 0 0 42 2.169212 -1.347244 -0.5088983 0 0 0 0 0 0 64 3.112836 -1.098895 -1.377821 0 0 0 0 0 0 87 3.72039 -1.244684 -1.71868 0 0 0 0 0 0 109 4.06096 -1.503083 -1.143228 0 0 0 0 0 0 131 4.493868 -1.573557 -0.07533211 0 0 0 0 0 0 154 5.209983 -1.644952 0.7226873 0 0 0 0 0 0 176 5.613655 -1.67235 0.6261145 0 0 0 0 0 0 
21810,20 1.103568 -1.066574 -0.7013795 0 0 0 0 0 0 42 1.978775 -0.9244137 -0.8275062 0 0 0 0 0 0 65 3.060107 -0.7477733 -1.048751 0 0 0 0 0 0 87 3.594896 -0.9555882 -0.655286 0 0 0 0 0 0 110 3.954065 -1.638263 -0.1230927 0 0 0 0 0 0 131 4.286093 -2.301762 0.2450968 0 0 0 0 0 0 154 5.039521 -2.943576 0.3185974 0 0 0 0 0 0 176 6.269971 -3.150134 0.05840588 0 0 0 0 0 0 198 8.195139 -2.919934 -0.3168932 0 0 0 0 0 0 221 9.631529 -2.626491 -0.1243845 0 0 0 0 0 0 244 10.1438 -1.85689 -1.178581 0 0 0 0 0 0 266 9.362561 -0.8558145 -2.136899 0 0 0 0 0 0 288 7.02559 -0.656751 -0.5363198 0 0 0 0 0 0 
22279,20 -2.802393 -0.1455447 -0.5405889 0 0 0 0 0 0 42 -3.813217 -0.3239179 -0.4499275 0 0 0 0 0 0 64 -3.664969 -0.381314 0.6105335 0 0 0 0 0 0 87 -3.127576 -0.3748561 1.476523 0 0 0 0 0 0 109 -3.246784 -0.3496581 0.8420308 0 0 0 0 0 0 131 -4.280282 -0.6884297 0.5682169 0 0 0 0 0 0 154 -4.941011 -1.29299 1.177348 0 0 0 0 0 0 176 -5.383036 -2.002524 1.869939 0 0 0 0 0 0 198 -6.033417 -2.345484 1.858653 0 0 0 0 0 0 221 -6.704014 -2.474411 1.794827 0 0 0 0 0 0 243 -6.990068 -2.266181 1.393084 0 0 0 0 0 0 265 -6.498181 -1.790741 1.243695 0 0 0 0 0 0 288 -5.962363 -1.146768 0.2953908 0 0 0 0 0 0 
22793,20 -1.703176 -0.1071025 0.4918539 0 0 0 0 0 0 43 -2.385846 0.03675529 0.2821953 0 0 0 0 0 0 65 -3.650345 0.1127464 0.3356947 0 0 0 0 0 0 87 -4.929634 0.3751738 0.04938716 0 0 0 0 0 0 110 -6.255549 0.5039737 -0.1351803 0 0 0 0 0 0 132 -7.931855 0.323104 1.014364 0 0 0 0 0 0 154 -9.291743 0.3686201 0.2220749 0 0 0 0 0 0 177 -10.11437 0.7848054 -1.341949 0 0 0 0 0 0 199 -9.848161 0.9263696 -1.679777 0 0 0 0 0 0 222 -8.294625 0.7417644 -1.146024 0 0 0 0 0 0 243 -6.028449 0.539715 -0.6868793 0 0 0 0 0 0 267 -4.40244 0.3318347 -1.015249 0 0 0 0 0 0 288 -3.605216 0.1099964 -1.190077 0 0 0 0 0 0 310 -3.711623 0.03614056 -0.8378788 0 0 0 0 0 0 
26904,22 -0.2008411 1.143368 -0.9232798 0 0 0 0 0 0 45 0.0007338449 2.124905 -1.102752 0 0 0 0 0 0 67 0.2748626 3.007119 -1.518351 0 0 0 0 0 0 89 0.5949414 3.542447 -1.715221 0 0 0 0 0 0 112 0.8297918 3.725928 -1.778949 0 0 0 0 0 0 134 0.906132 3.522298 -2.051562 0 0 0 0 0 0 156 1.522463 3.120394 -2.594874 0 0 0 0 0 0 178 2.759725 2.494783 -3.286976 0 0 0 0 0 0 201 3.480356 2.199185 -3.727974 0 0 0 0 0 0 223 3.776104 2.085708 -4.205262 0 0 0 0 0 0 245 4.434214 1.935598 -3.904169 0 0 0 0 0 0 267 5.282001 1.521945 -3.284205 0 0 0 0 0 0 290 6.103428 0.9794151 -3.171995 0 0 0 0 0 0 313 6.510679 0.8876889 -3.826971 0 0 0 0 0 0 334 6.944893 0.755996 -3.986348 0 0 0 0 0 0 359 7.146544 -0.1698416 -3.297219 0 0 0 0 0 0 379 7.755257 -1.604917 -2.637203 0 0 0 0 0 0 401 8.091289 -2.640837 -2.729573 0 0 0 0 0 0 424 7.939768 -3.738094 -3.397563 0 0 0 0 0 0 446 7.646041 -4.80273 -3.23175 0 0 0 0 0 0 468 7.437254 -5.748754 -2.571893 0 0 0 0 0 0 491 6.933826 -6.837573 -1.444675 0 0 0 0 0 0 513 6.381664 -7.497419 -0.2352913 0 0 0 0 0 0 
28367,20 -0.0291034 -0.09441942 -0.8269271 0 0 0 0 0 0 42 0.1506936 0.6343865 -0.6821933 0 0 0 0 0 0 65 0.5902225 1.84961 -1.154005 0 0 0 0 0 0 87 1.154366 2.822729 -1.957775 0 0 0 0 0 0 109 1.70017 3.674442 -1.992052 0 0 0 0 0 0 132 2.054105 4.028444 -2.076571 0 0 0 0 0 0 154 2.079382 3.989385 -3.282623 0 0 0 0 0 0 177 2.459211 3.756931 -5.36513 0 0 0 0 0 0 199 3.415364 3.157599 -5.34015 0 0 0 0 0 0 221 4.609715 2.019446 -4.241411 0 0 0 0 0 0 244 5.163882 1.042113 -4.522398 0 0 0 0 0 0 267 5.657764 0.1409795 -5.529588 0 0 0 0 0 0 288 5.945239 -1.248313 -4.977056 0 0 0 0 0 0 310 6.047757 -2.826382 -3.481836 0 0 0 0 0 0 334 5.959881 -4.204954 -3.22006 0 0 0 0 0 0 356 5.651175 -4.794885 -4.154706 0 0 0 0 0 0 377 5.637615 -5.356387 -5.493404 0 0 0 0 0 0 400 6.177727 -5.618489 -5.575222 0 0 0 0 0 0 422 6.936862 -5.452936 -5.216183 0 0 0 0 0 0 445 7.136182 -5.492024 -4.889876 0 0 0 0 0 0 467 7.106038 -5.971992 -3.370942 0 0 0 0 0 0 489 6.281895 -6.250513 -0.7145577 0 0 0 0 0 0 
29316,20 0.0502049 0.8693956 1.13058 0 0 0 0 0 0 43 0.0787482 1.113278 -0.06234658 0 0 0 0 0 0 65 0.1829237 1.872654 -1.332317 0 0 0 0 0 0 87 0.2220711 2.437613 -1.531512 0 0 0 0 0 0 109 0.5539072 2.980543 -1.688912 0 0 0 0 0 0 132 0.9870951 2.868209 -2.669089 0 0 0 0 0 0 154 1.547617 2.248966 -2.776124 0 0 0 0 0 0 176 2.262867 1.488943 -3.27699 0 0 0 0 0 0 198 3.021368 0.914549 -3.369088 0 0 0 0 0 0 221 3.531243 0.4000054 -3.330248 0 0 0 0 0 0 244 4.226774 -0.535205 -3.42814 0 0 0 0 0 0 265 4.771726 -0.7737744 -4.225178 0 0 0 0 0 0 288 5.281953 -0.4764217 -4.733807 0 0 0 0 0 0 311 5.867497 -0.5299237 -4.08517 0 0 0 0 0 0 332 6.161072 -1.119096 -3.239901 0 0 0 0 0 0 355 5.967864 -1.809522 -4.306625 0 0 0 0 0 0 377 6.117025 -2.205081 -6.201664 0 0 0 0 0 0 401 7.248539 -2.705445 -5.785932 0 0 0 0 0 0 422 7.890303 -4.2689 -2.767518 0 0 0 0 0 0 444 7.369599 -5.924588 -2.115335 0 0 0 0 0 0 467 7.011978 -6.607189 -4.14287 0 0 0 0 0 0 489 7.373983 -5.558088 -5.661933 0 0 0 0 0 0 
30377,20 1.221489 -0.6291634 2.161191 0 0 0 0 0 0 42 0.5236145 0.3519717 1.113285 0 0 0 0 0 0 65 -0.1844948 1.409243 0.2024333 0 0 0 0 0 0 87 -0.7444443 2.262565 -0.8642024 0 0 0 0 0 0 109 -0.6528969 2.628226 -2.079319 0 0 0 0 0 0 132 0.0432202 2.858677 -2.349011 0 0 0 0 0 0 154 0.6591763 2.736859 -1.604675 0 0 0 0 0 0 176 1.143411 2.470067 -1.474116 0 0 0 0 0 0 199 1.843055 2.337238 -3.746286 0 0 0 0 0 0 221 2.727596 1.806508 -4.112823 0 0 0 0 0 0 243 3.521995 1.021613 -3.497786 0 0 0 0 0 0 265 3.766791 0.7153897 -3.82357 0 0 0 0 0 0 288 3.988389 0.5067832 -3.676647 0 0 0 0 0 0 310 4.669283 -0.1882762 -2.560564 0 0 0 0 0 0 332 5.101622 -0.3354986 -2.523727 0 0 0 0 0 0 355 5.043403 0.7364664 -3.664115 0 0 0 0 0 0 378 4.936612 2.41974 -4.644471 0 0 0 0 0 0 399 5.739381 3.453144 -3.729898 0 0 0 0 0 0 422 7.417864 3.376189 -3.178924 0 0 0 0 0 0 444 8.17814 3.681915 -3.173794 0 0 0 0 0 0 466 7.919966 3.41588 -1.210598 0 0 0 0 0 0 489 8.410963 1.027189 1.780036 0 0 0 0 0 0 511 8.192461 -0.3340001 1.271561 0 0 0 0 0 0 533 7.100493 -1.175777 0.3610208 0 0 0 0 0 0 556 6.453299 -2.400526 0.361387 0 0 0 0 0 0 579 6.310175 -2.993857 0.9201027 0 0 0 0 0 0 601 5.364594 -4.167871 1.555454 0 0 0 0 0 0 
31249,19 0.2361583 1.371065 1.542199 0 0 0 0 0 0 43 -0.1158949 1.990685 0.5010288 0 0 0 0 0 0 64 -0.08439857 2.64922 -0.5704598 0 0 0 0 0 0 87 0.1783905 4.003148 -2.544214 0 0 0 0 0 0 109 0.3664462 4.391584 -3.166942 0 0 0 0 0 0 131 1.06924 4.554073 -2.589706 0 0 0 0 0 0 154 1.695238 4.564105 -2.442113 0 0 0 0 0 0 176 2.377767 4.057215 -3.378232 0 0 0 0 0 0 198 3.252529 3.458779 -3.936449 0 0 0 0 0 0 221 4.345369 2.397286 -3.721557 0 0 0 0 0 0 243 5.091556 1.270976 -2.71313 0 0 0 0 0 0 265 5.885048 0.08597169 -2.401786 0 0 0 0 0 0 287 6.229341 -0.434359 -3.569293 0 0 0 0 0 0 310 6.337259 -0.1144863 -4.876096 0 0 0 0 0 0 332 6.587895 0.2767284 -4.773969 0 0 0 0 0 0 354 7.087975 0.9523501 -4.103341 0 0 0 0 0 0 377 7.21217 1.280014 -3.876894 0 0 0 0 0 0 399 7.145113 0.9871273 -3.336587 0 0 0 0 0 0 
32310,20 -0.6866807 -0.03301948 1.888874 0 0 0 0 0 0 42 -1.292721 0.3608114 1.116559 0 0 0 0 0 0 64 -1.58362 1.024662 -0.2270467 0 0 0 0 0 0 87 -1.55957 1.631514 -0.6625782 0 0 0 0 0 0 109 -1.461402 1.987822 -0.4562002 0 0 0 0 0 0 131 -0.9900966 2.079792 -0.6234272 0 0 0 0 0 0 154 -0.6361681 2.293246 -1.269569 0 0 0 0 0 0 176 -0.4731693 2.465143 -2.102957 0 0 0 0 0 0 199 -0.4417727 2.63598 -2.159354 0 0 0 0 0 0 221 0.007511616 2.760629 -1.893449 0 0 0 0 0 0 243 0.9481994 2.93349 -1.958385 0 0 0 0 0 0 266 1.765931 3.418145 -3.031428 0 0 0 0 0 0 288 2.423878 4.419242 -4.169007 0 0 0 0 0 0 310 3.240534 5.27366 -4.132725 0 0 0 0 0 0 332 4.164238 5.70449 -3.617279 0 0 0 0 0 0 355 4.500873 5.289955 -3.084202 0 0 0 0 0 0 377 4.964634 4.169128 -2.913367 0 0 0 0 0 0 400 5.681633 3.267341 -2.544501 0 0 0 0 0 0 422 6.574603 2.479636 -2.005255 0 0 0 0 0 0 445 7.139898 2.114212 -1.816998 0 0 0 0 0 0 466 7.631047 2.001763 -1.752815 0 0 0 0 0 0 489 8.153155 1.909173 -1.174112 0 0 0 0 0 0 511 8.370181 2.242165 -1.024439 0 0 0 0 0 0 533 7.903378 2.803545 -1.177225 0 0 0 0 0 0 557 7.280797 3.126317 -1.965993 0 0 0 0 0 0 578 6.703112 3.774354 -1.771169 0 0 0 0 0 0 601 4.261623 2.640682 1.240895 0 0 0 0 0 0 623 1.630626 1.417433 1.283069 0 0 0 0 0 0 
33416,20 -2.036843 0.3731682 1.230418 0 0 0 0 0 0 42 -0.6402749 0.1622592 -0.27858 0 0 0 0 0 0 64 0.3442254 0.3226505 -0.6552196 0 0 0 0 0 0 87 0.7653178 0.8893732 -0.6932096 0 0 0 0 0 0 109 0.7465252 1.119021 -1.617132 0 0 0 0 0 0 131 1.630178 1.21449 -3.12933 0 0 0 0 0 0 154 2.90456 1.313739 -3.469651 0 0 0 0 0 0 176 3.562356 1.802685 -3.835246 0 0 0 0 0 0 198 3.587636 2.408305 -4.389434 0 0 0 0 0 0 221 3.62989 3.029046 -5.386037 0 0 0 0 0 0 243 5.612015 2.638383 -5.303159 0 0 0 0 0 0 266 7.408116 1.632966 -3.890348 0 0 0 0 0 0 288 7.891787 0.9494255 -3.450099 0 0 0 0 0 0 310 7.661818 1.129947 -3.946393 0 0 0 0 0 0 332 8.236162 2.134689 -3.723332 0 0 0 0 0 0 355 9.310739 3.09366 -2.370087 0 0 0 0 0 0 377 9.521961 3.164241 -2.006268 0 0 0 0 0 0 400 8.734965 2.572897 -2.202731 0 0 0 0 0 0 422 7.963992 1.864168 -1.428087 0 0 0 0 0 0 445 8.113181 1.641756 -0.9289712 0 0 0 0 0 0 467 6.353271 0.4774082 2.299342 0 0 0 0 0 0 
34544,20 -0.4734653 0.7892911 0.2843876 0 0 0 0 0 0 42 -0.6499705 2.183796 -0.001909971 0 0 0 0 0 0 64 -1.250331 2.413685 -1.025192 0 0 0 0 0 0 87 -0.9726283 2.307749 -2.327089 0 0 0 0 0 0 109 0.1406771 2.696255 -2.108573 0 0 0 0 0 0 131 0.9240236 3.324263 -1.479058 0 0 0 0 0 0 154 1.021977 3.37651 -1.954582 0 0 0 0 0 0 177 0.7956557 3.119063 -3.038437 0 0 0 0 0 0 198 0.4922562 3.774629 -3.70815 0 0 0 0 0 0 221 0.9972731 4.384376 -2.812068 0 0 0 0 0 0 243 2.45371 4.266333 -1.920051 0 0 0 0 0 0 266 3.126419 3.818404 -1.941512 0 0 0 0 0 0 288 2.743347 3.922543 -3.092459 0 0 0 0 0 0 310 2.454784 4.607515 -3.242135 0 0 0 0 0 0 333 3.244534 5.004255 -2.576228 0 0 0 0 0 0 355 4.057415 4.853376 -1.723882 0 0 0 0 0 0 377 4.526007 4.303367 -1.50978 0 0 0 0 0 0 399 4.63295 4.52778 -1.997722 0 0 0 0 0 0 422 4.802665 5.067478 -1.983986 0 0 0 0 0 0 444 5.864374 5.528834 -1.352385 0 0 0 0 0 0 466 7.034452 6.332042 -0.3155656 0 0 0 0 0 0 489 6.784933 5.988976 -0.01498473 0 0 0 0 0 0 511 6.748758 3.981928 0.5965906 0 0 0 0 0 0 534 7.200186 2.752025 1.022694 0 0 0 0 0 0 556 7.450536 1.942251 1.021896 0 0 0 0 0 0 579 7.511499 1.244433 1.571654 0 0 0 0 0 0 601 7.533123 -0.2497865 2.288569 0 0 0 0 0 0 623 7.218349 -2.464288 3.587647 0 0 0 0 0 0 
35739,21 0.6614105 1.468087 -3.088444 0 0 0 0 0 0 42 1.165795 1.160425 -3.077492 0 0 0 0 0 0 65 1.918265 0.854903 -3.492486 0 0 0 0 0 0 87 2.424992 0.8972209 -3.818968 0 0 0 0 0 0 109 2.692417 1.061734 -4.059299 0 0 0 0 0 0 132 3.096222 1.264603 -4.660311 0 0 0 0 0 0 154 3.905756 1.120548 -5.109635 0 0 0 0 0 0 176 4.563487 1.090585 -4.746835 0 0 0 0 0 0 199 4.672812 1.203468 -5.019358 0 0 0 0 0 0 221 4.778791 1.543825 -5.640532 0 0 0 0 0 0 244 5.043954 1.976521 -5.523765 0 0 0 0 0 0 266 5.27308 2.229933 -4.782641 0 0 0 0 0 0 289 5.836313 2.333712 -3.690223 0 0 0 0 0 0 310 6.353297 2.264334 -2.733279 0 0 0 0 0 0 333 6.65948 1.965307 -2.253788 0 0 0 0 0 0 355 6.631155 1.527739 -2.09851 0 0 0 0 0 0 377 6.487051 1.223477 -1.411024 0 0 0 0 0 0 400 6.67788 0.8818399 -0.8696731 0 0 0 0 0 0 423 6.554288 0.9345242 -0.1349182 0 0 0 0 0 0 444 6.331408 1.170072 -0.04040337 0 0 0 0 0 0 467 5.500947 1.324727 -0.1356526 0 0 0 0 0 0 
36812,20 -0.806536 0.8664454 3.25218 0 0 0 0 0 0 42 -0.6309814 1.226142 2.683949 0 0 0 0 0 0 65 -0.543568 1.677822 1.343209 0 0 0 0 0 0 87 -0.482337 2.046807 0.4678941 0 0 0 0 0 0 109 -0.3232861 2.312141 0.2682467 0 0 0 0 0 0 131 -0.1457688 2.303185 -0.3232855 0 0 0 0 0 0 155 0.2136375 1.953761 -0.8103656 0 0 0 0 0 0 176 0.6733761 1.66837 -1.334794 0 0 0 0 0 0 199 1.294196 1.32815 -2.055575 0 0 0 0 0 0 221 1.848887 0.931109 -3.254162 0 0 0 0 0 0 243 2.468491 0.4126289 -4.112076 0 0 0 0 0 0 265 3.144578 -0.005101442 -4.373969 0 0 0 0 0 0 288 3.649737 -0.1968337 -5.385264 0 0 0 0 0 0 310 4.074703 -0.2386487 -6.718552 0 0 0 0 0 0 332 4.628037 -0.3780853 -7.605536 0 0 0 0 0 0 355 5.139925 -0.1647007 -8.224462 0 0 0 0 0 0 377 5.699882 0.2437252 -8.167887 0 0 0 0 0 0 399 6.408316 0.5557797 -7.041595 0 0 0 0 0 0 422 6.893547 0.5416657 -6.231196 0 0 0 0 0 0 444 7.587599 0.2650413 -5.74712 0 0 0 0 0 0 466 8.253689 0.02362984 -5.067276 0 0 0 0 0 0 489 8.49824 -0.06099214 -4.037976 0 0 0 0 0 0 512 8.189066 -0.3013686 -2.214885 0 0 0 0 0 0 533 7.660403 -0.4774709 -2.117531 0 0 0 0 0 0 556 5.659681 0.5315291 -1.570225 0 0 0 0 0 0 578 1.752016 -0.02091383 0.7729998 0 0 0 0 0 0 
