ID, Data[]
37984,20 -1.122947 0.526614 1.79653 0 0 0 0 0 0 43 -0.9205574 0.886911 1.254522 0 0 0 0 0 0 65 -0.6234432 1.536369 -0.4016251 0 0 0 0 0 0 87 0.3012461 1.627675 -2.216802 0 0 0 0 0 0 109 1.278583 1.01835 -2.637439 0 0 0 0 0 0 132 2.103484 0.136326 -2.238369 0 0 0 0 0 0 154 2.460243 -0.392943 -1.845843 0 0 0 0 0 0 176 2.446453 -0.06144714 -2.500156 0 0 0 0 0 0 199 2.417445 0.8979778 -4.01505 0 0 0 0 0 0 221 2.758336 2.258947 -5.806909 0 0 0 0 0 0 243 3.875117 2.97929 -5.240835 0 0 0 0 0 0 267 5.093194 3.443415 -4.129015 0 0 0 0 0 0 288 5.28054 3.655532 -5.043723 0 0 0 0 0 0 310 5.298367 3.689315 -5.890852 0 0 0 0 0 0 333 5.978209 3.059884 -3.861034 0 0 0 0 0 0 355 6.525851 1.760662 -1.380168 0 0 0 0 0 0 377 6.758485 1.018522 -1.78589 0 0 0 0 0 0 400 7.399306 0.6836343 -3.206812 0 0 0 0 0 0 422 8.227716 0.2221135 -1.484506 0 0 0 0 0 0 444 8.708134 -0.1149462 -0.6432179 0 0 0 0 0 0 467 8.922853 -0.04564983 -3.155612 0 0 0 0 0 0 489 8.879313 0.3212979 -4.409245 0 0 0 0 0 0 511 8.426076 1.081551 -3.035196 0 0 0 0 0 0 534 8.529632 2.138428 -1.997725 0 0 0 0 0 0 556 6.592703 2.035329 2.694291 0 0 0 0 0 0 578 1.116892 -0.8326566 3.990938 0 0 0 0 0 0 601 -1.177163 -0.1367942 -0.04033834 0 0 0 0 0 0 623 -0.70191 -0.01706594 -2.255651 0 0 0 0 0 0 646 1.719186 -0.02618432 0.1723993 0 0 0 0 0 0 
39168,20 -1.241505 2.526513 1.598928 0 0 0 0 0 0 42 -1.55583 3.281099 0.5754017 0 0 0 0 0 0 64 -1.806062 4.040593 -0.580955 0 0 0 0 0 0 87 -2.019338 4.615881 -1.402085 0 0 0 0 0 0 109 -1.955261 4.81611 -1.187682 0 0 0 0 0 0 132 -0.9860598 4.662656 -1.464225 0 0 0 0 0 0 154 0.3970459 4.50513 -3.285738 0 0 0 0 0 0 177 1.733246 4.372953 -4.044949 0 0 0 0 0 0 199 2.375595 4.029285 -3.659215 0 0 0 0 0 0 221 2.515675 4.081892 -4.089883 0 0 0 0 0 0 243 2.820525 4.367803 -4.650283 0 0 0 0 0 0 266 3.564558 4.385535 -3.977527 0 0 0 0 0 0 288 4.737153 3.584285 -1.865306 0 0 0 0 0 0 310 5.660348 2.80448 -1.334 0 0 0 0 0 0 333 6.07539 2.206459 -2.228887 0 0 0 0 0 0 355 6.405407 2.137196 -2.275787 0 0 0 0 0 0 377 7.227829 2.075965 -1.65259 0 0 0 0 0 0 400 8.336432 1.666062 -1.653857 0 0 0 0 0 0 422 9.101366 1.278145 -1.865196 0 0 0 0 0 0 445 9.407213 1.452032 -1.707894 0 0 0 0 0 0 467 9.193336 2.270432 -1.633027 0 0 0 0 0 0 490 9.134332 2.908402 -2.08706 0 0 0 0 0 0 511 9.052094 2.907828 -2.571261 0 0 0 0 0 0 535 8.744516 2.32804 -1.815166 0 0 0 0 0 0 556 8.344006 1.876158 -0.4307128 0 0 0 0 0 0 579 6.010786 -0.1617883 2.690333 0 0 0 0 0 0 601 4.322914 -1.173522 2.650048 0 0 0 0 0 0 624 3.558078 -1.113602 -0.5244052 0 0 0 0 0 0 
42318,22 -2.404496 2.272424 -0.07218176 0 0 0 0 0 0 44 -2.484404 3.261516 -0.8149086 0 0 0 0 0 0 66 -2.64858 4.356405 -2.335512 0 0 0 0 0 0 89 -3.213633 5.62493 -4.210708 0 0 0 0 0 0 111 -3.579134 6.425461 -4.87471 0 0 0 0 0 0 133 -3.787985 6.96833 -4.490525 0 0 0 0 0 0 156 -3.740721 7.668622 -3.946471 0 0 0 0 0 0 179 -2.987689 7.809808 -3.543676 0 0 0 0 0 0 200 -1.604271 6.775688 -1.803197 0 0 0 0 0 0 223 -0.6843854 5.7426 -0.6440386 0 0 0 0 0 0 245 -0.3963525 5.258841 -0.8393878 0 0 0 0 0 0 267 0.21171 4.789921 -0.7585664 0 0 0 0 0 0 290 1.385058 4.439589 -0.2540789 0 0 0 0 0 0 312 2.040344 4.22991 0.3480977 0 0 0 0 0 0 334 2.730654 3.927876 0.6623782 0 0 0 0 0 0 357 3.404361 3.673663 0.5310323 0 0 0 0 0 0 379 4.072034 3.776742 0.1474276 0 0 0 0 0 0 401 4.536107 4.012238 0.307772 0 0 0 0 0 0 423 4.616241 4.134995 0.8003327 0 0 0 0 0 0 446 4.631765 4.378707 0.5798622 0 0 0 0 0 0 468 4.335623 4.738789 0.4634 0 0 0 0 0 0 490 3.656977 4.983774 1.011714 0 0 0 0 0 0 513 2.121593 4.356987 1.921717 0 0 0 0 0 0 
43324,20 -3.885726 -0.4632431 0.8322303 0 0 0 0 0 0 43 -3.78301 0.3175449 -0.210804 0 0 0 0 0 0 64 -3.963541 0.8171252 -0.7816991 0 0 0 0 0 0 88 -4.083716 1.212137 -1.806729 0 0 0 0 0 0 109 -3.845865 1.857542 -3.031902 0 0 0 0 0 0 132 -3.384596 2.939878 -4.355455 0 0 0 0 0 0 154 -2.903897 4.407221 -5.80032 0 0 0 0 0 0 176 -2.837856 4.791 -5.250271 0 0 0 0 0 0 198 -2.68998 4.669389 -4.14954 0 0 0 0 0 0 221 -2.107777 4.983111 -4.010285 0 0 0 0 0 0 243 -1.717911 5.545965 -4.220415 0 0 0 0 0 0 265 -1.322151 6.286993 -4.658346 0 0 0 0 0 0 288 -0.9696242 7.034226 -3.981249 0 0 0 0 0 0 310 -0.2375494 7.656469 -4.01415 0 0 0 0 0 0 332 0.4086584 7.770374 -3.92131 0 0 0 0 0 0 355 0.767925 8.251821 -3.777973 0 0 0 0 0 0 378 1.137736 9.452151 -4.020484 0 0 0 0 0 0 400 1.614344 10.39539 -4.2291 0 0 0 0 0 0 422 1.481356 11.21204 -4.724827 0 0 0 0 0 0 445 0.9138352 10.68478 -4.953245 0 0 0 0 0 0 467 0.6439251 9.450369 -4.060511 0 0 0 0 0 0 489 -0.1354762 7.199142 -3.362018 0 0 0 0 0 0 511 -1.368418 5.416607 -3.139249 0 0 0 0 0 0 533 -2.568081 2.906536 -0.9520945 0 0 0 0 0 0 
44441,21 -3.088069 0.5095436 -0.8970638 0 0 0 0 0 0 43 -2.881328 0.9536548 -0.6401983 0 0 0 0 0 0 66 -2.889984 1.225312 -0.3862253 0 0 0 0 0 0 87 -2.855334 1.283292 -0.5192147 0 0 0 0 0 0 110 -2.82083 1.244175 -0.6877981 0 0 0 0 0 0 132 -2.919218 1.306913 -0.8625541 0 0 0 0 0 0 155 -3.10087 1.290599 -0.9915012 0 0 0 0 0 0 177 -3.125151 1.594148 -1.961139 0 0 0 0 0 0 199 -2.962372 2.088915 -2.563208 0 0 0 0 0 0 221 -2.801137 2.341321 -1.775584 0 0 0 0 0 0 244 -2.674021 2.701825 -1.160421 0 0 0 0 0 0 266 -2.50494 3.564105 -2.088987 0 0 0 0 0 0 288 -2.421409 3.965577 -1.62184 0 0 0 0 0 0 310 -2.296003 4.046649 -0.706778 0 0 0 0 0 0 333 -2.226477 4.153198 -0.3288821 0 0 0 0 0 0 355 -2.072514 4.634123 -1.022816 0 0 0 0 0 0 377 -1.571036 5.086994 -0.6016967 0 0 0 0 0 0 400 -0.6983548 5.086972 0.6078938 0 0 0 0 0 0 422 0.179934 5.017151 1.069523 0 0 0 0 0 0 445 0.6897438 5.611521 0.09477842 0 0 0 0 0 0 467 0.9461759 5.994858 0.05231869 0 0 0 0 0 0 489 1.414253 6.016961 1.347316 0 0 0 0 0 0 511 2.212831 6.039883 1.999636 0 0 0 0 0 0 534 2.781987 5.869613 1.509355 0 0 0 0 0 0 556 2.257678 4.386739 1.672861 0 0 0 0 0 0 579 0.3638443 1.975147 1.981161 0 0 0 0 0 0 
45725,20 -1.159266 -2.191406 4.071119 0 0 0 0 0 0 43 -2.074727 -1.19503 2.641295 0 0 0 0 0 0 64 -2.31772 -0.433171 0.9414035 0 0 0 0 0 0 87 -2.614564 -0.1306279 1.489136 0 0 0 0 0 0 110 -3.084704 0.3191442 2.436582 0 0 0 0 0 0 132 -3.014297 0.861379 2.247837 0 0 0 0 0 0 154 -2.804742 1.404644 1.678845 0 0 0 0 0 0 176 -2.893399 1.687292 1.481471 0 0 0 0 0 0 199 -3.350237 2.004879 1.33646 0 0 0 0 0 0 221 -3.957966 2.17691 1.411535 0 0 0 0 0 0 244 -4.548518 2.233924 0.8008764 0 0 0 0 0 0 266 -4.244937 2.715394 0.2242198 0 0 0 0 0 0 288 -3.303649 3.683746 -0.5044442 0 0 0 0 0 0 310 -2.981223 4.373209 -0.5215642 0 0 0 0 0 0 333 -2.933105 5.442915 -0.3041956 0 0 0 0 0 0 355 -2.833388 5.920664 -1.158036 0 0 0 0 0 0 378 -2.275316 6.076327 -1.415486 0 0 0 0 0 0 400 -1.624033 5.902763 -0.9216191 0 0 0 0 0 0 422 -0.8593148 5.5807 -0.4799196 0 0 0 0 0 0 445 -0.4630597 5.635438 -1.140335 0 0 0 0 0 0 467 -0.1649822 5.755456 -1.586396 0 0 0 0 0 0 489 0.127514 5.466462 -0.5283685 0 0 0 0 0 0 511 0.3506457 5.2088 -0.3895946 0 0 0 0 0 0 534 0.7435449 5.081465 -0.5748337 0 0 0 0 0 0 556 1.190588 4.892349 -0.3036532 0 0 0 0 0 0 578 1.424436 4.470126 0.04456007 0 0 0 0 0 0 601 1.644725 4.120689 -0.007484794 0 0 0 0 0 0 623 2.379741 3.880853 0.7059026 0 0 0 0 0 0 645 3.196128 3.809436 1.108975 0 0 0 0 0 0 668 3.573348 3.744605 1.223498 0 0 0 0 0 0 690 3.390696 3.44617 2.032387 0 0 0 0 0 0 712 2.651047 2.632374 4.541445 0 0 0 0 0 0 
47261,20 -2.508852 -3.191741 2.940437 0 0 0 0 0 0 43 -2.285313 -3.195311 3.534649 0 0 0 0 0 0 65 -2.364651 -2.852798 2.758124 0 0 0 0 0 0 87 -2.401567 -1.806696 1.782772 0 0 0 0 0 0 110 -2.064536 -0.5273669 1.098153 0 0 0 0 0 0 132 -1.787388 0.5886958 1.188198 0 0 0 0 0 0 154 -1.51647 1.578697 1.871763 0 0 0 0 0 0 176 -1.2429 2.631679 1.917002 0 0 0 0 0 0 199 -1.771572 3.234934 1.636253 0 0 0 0 0 0 221 -2.364584 3.162201 1.815675 0 0 0 0 0 0 244 -2.784003 2.992037 2.112745 0 0 0 0 0 0 267 -2.841165 3.266259 2.109389 0 0 0 0 0 0 288 -2.970772 4.23614 1.307864 0 0 0 0 0 0 311 -3.239893 4.960665 0.5383363 0 0 0 0 0 0 333 -3.169581 5.082265 0.4371884 0 0 0 0 0 0 355 -2.890115 4.956242 1.146603 0 0 0 0 0 0 377 -2.823145 4.761387 1.52368 0 0 0 0 0 0 400 -3.186579 4.959728 1.221274 0 0 0 0 0 0 422 -3.417595 5.294162 0.685774 0 0 0 0 0 0 444 -2.817712 5.574485 0.7086454 0 0 0 0 0 0 467 -1.935591 5.513784 0.9754468 0 0 0 0 0 0 490 -1.633297 5.492504 1.240353 0 0 0 0 0 0 511 -1.512829 5.135253 1.319914 0 0 0 0 0 0 534 -1.297011 4.475223 1.049775 0 0 0 0 0 0 556 -0.8113446 4.365032 0.7552923 0 0 0 0 0 0 579 -0.4295064 4.738548 0.4519202 0 0 0 0 0 0 601 -0.434693 5.105191 0.6921876 0 0 0 0 0 0 623 -0.4821911 4.769666 0.9651705 0 0 0 0 0 0 645 -0.1998619 4.115993 0.8614843 0 0 0 0 0 0 668 0.08470428 3.928896 -0.09064662 0 0 0 0 0 0 690 0.4970933 4.11788 -0.06803811 0 0 0 0 0 0 712 1.065225 4.331625 0.7891804 0 0 0 0 0 0 736 1.608968 4.25648 1.036222 0 0 0 0 0 0 757 2.12946 3.99631 0.4173721 0 0 0 0 0 0 780 2.532113 3.740924 -0.3695778 0 0 0 0 0 0 802 2.81785 3.66731 0.04498243 0 0 0 0 0 0 824 2.735489 3.4297 0.8600671 0 0 0 0 0 0 846 2.579082 3.004937 1.153971 0 0 0 0 0 0 870 2.835389 2.966772 -0.3046823 0 0 0 0 0 0 891 3.398387 2.481081 -0.9214262 0 0 0 0 0 0 914 3.759367 0.9780803 0.7136681 0 0 0 0 0 0 936 3.91583 0.1830857 2.880424 0 0 0 0 0 0 958 3.879728 0.4297754 1.939375 0 0 0 0 0 0 981 2.494011 0.9371395 -1.031741 0 0 0 0 0 0 
48742,20 -1.586163 -0.2573426 2.418295 0 0 0 0 0 0 43 -1.740138 0.1736898 1.553599 0 0 0 0 0 0 65 -2.222919 0.6823595 1.038769 0 0 0 0 0 0 87 -2.634721 1.042121 1.074901 0 0 0 0 0 0 110 -2.992771 1.607077 1.735533 0 0 0 0 0 0 131 -3.354638 2.357455 1.184485 0 0 0 0 0 0 154 -3.851763 3.220492 -0.3025483 0 0 0 0 0 0 177 -4.201169 3.533466 -1.099671 0 0 0 0 0 0 198 -4.220556 3.647428 -0.5567827 0 0 0 0 0 0 221 -3.47017 4.056003 -0.06518173 0 0 0 0 0 0 243 -3.010108 4.12819 -1.148196 0 0 0 0 0 0 265 -2.735185 3.94836 -1.707787 0 0 0 0 0 0 288 -2.011532 4.040565 -1.103066 0 0 0 0 0 0 310 -1.268231 3.548347 -0.06987231 0 0 0 0 0 0 332 -0.5422825 2.584578 0.2828282 0 0 0 0 0 0 355 0.9165775 2.046505 0.7819533 0 0 0 0 0 0 377 1.81407 1.924375 1.096317 0 0 0 0 0 0 400 2.343907 1.858456 1.670206 0 0 0 0 0 0 422 2.880296 1.572795 2.384578 0 0 0 0 0 0 444 3.457951 1.210761 2.341096 0 0 0 0 0 0 466 3.968616 0.912561 1.009938 0 0 0 0 0 0 489 4.231736 0.9621159 0.3251161 0 0 0 0 0 0 511 3.988728 0.4988748 1.853496 0 0 0 0 0 0 534 3.485258 -0.4067941 2.682479 0 0 0 0 0 0 556 3.160789 0.5648514 0.07133776 0 0 0 0 0 0 578 3.025917 1.23594 -1.131868 0 0 0 0 0 0 601 2.034397 0.9698995 -0.8846179 0 0 0 0 0 0 
50104,20 -2.072399 0.6577612 0.8956808 0 0 0 0 0 0 42 -2.116657 0.8156024 0.6027358 0 0 0 0 0 0 65 -2.252127 0.8474414 0.6836134 0 0 0 0 0 0 87 -2.579826 0.9151978 0.5000752 0 0 0 0 0 0 110 -2.832881 1.283097 0.09853552 0 0 0 0 0 0 131 -2.997469 1.838309 0.04530497 0 0 0 0 0 0 154 -2.939076 2.261603 0.6064943 0 0 0 0 0 0 176 -2.821274 2.598515 0.6108209 0 0 0 0 0 0 198 -2.779248 2.919219 0.07803327 0 0 0 0 0 0 221 -2.575718 3.202511 -0.5039329 0 0 0 0 0 0 243 -2.143468 3.090368 -0.1498348 0 0 0 0 0 0 265 -1.510977 2.276773 1.331131 0 0 0 0 0 0 288 -0.764563 1.614745 1.287437 0 0 0 0 0 0 310 0.3500798 1.315677 -0.04824886 0 0 0 0 0 0 333 1.338544 1.076566 -1.318921 0 0 0 0 0 0 355 1.627396 0.7950857 -0.8437542 0 0 0 0 0 0 377 1.696927 0.4604549 0.6753269 0 0 0 0 0 0 400 1.761643 0.06784245 1.218469 0 0 0 0 0 0 422 1.784689 -0.2060968 0.8624879 0 0 0 0 0 0 444 2.044733 -0.2661731 0.8225075 0 0 0 0 0 0 467 2.518909 -0.2744038 0.9223637 0 0 0 0 0 0 489 2.663724 -0.2211919 1.082023 0 0 0 0 0 0 513 2.825134 0.2312188 0.7945129 0 0 0 0 0 0 534 2.947024 0.3264239 0.5021238 0 0 0 0 0 0 556 3.075327 -0.01059151 0.6252757 0 0 0 0 0 0 578 2.830276 -0.5511134 1.500955 0 0 0 0 0 0 601 2.519795 -0.6530212 1.575113 0 0 0 0 0 0 623 2.53618 -0.02895766 0.2160056 0 0 0 0 0 0 646 2.390828 0.4972022 -0.5333165 0 0 0 0 0 0 668 1.835393 0.845158 -0.425181 0 0 0 0 0 0 
51288,20 -3.479671 0.9877496 0.2118696 0 0 0 0 0 0 42 -3.68099 1.085481 0.04900374 0 0 0 0 0 0 65 -3.733201 1.22007 -0.007158622 0 0 0 0 0 0 87 -3.955827 1.355414 -0.04702863 0 0 0 0 0 0 109 -4.371394 1.585737 -0.5236517 0 0 0 0 0 0 131 -4.413548 1.725174 -0.9300523 0 0 0 0 0 0 155 -4.060658 1.676997 -0.725125 0 0 0 0 0 0 177 -3.56459 1.673954 -0.5788631 0 0 0 0 0 0 198 -2.931697 1.830291 -0.7144477 0 0 0 0 0 0 221 -1.910056 1.669486 -0.339209 0 0 0 0 0 0 243 -0.8712059 1.301148 0.3658564 0 0 0 0 0 0 266 0.4577004 1.151658 0.9377857 0 0 0 0 0 0 289 1.861319 1.2849 0.5737066 0 0 0 0 0 0 310 2.89801 1.520753 -0.2163357 0 0 0 0 0 0 332 3.709085 1.264449 -0.0650427 0 0 0 0 0 0 355 3.674063 0.8979087 1.655459 0 0 0 0 0 0 377 3.340168 0.3056659 2.967639 0 0 0 0 0 0 400 3.55831 0.2943843 2.174147 0 0 0 0 0 0 422 4.136224 0.845875 0.4400913 0 0 0 0 0 0 444 4.21503 0.9814847 0.331899 0 0 0 0 0 0 466 3.751957 0.5799847 1.51386 0 0 0 0 0 0 489 3.039525 0.1483835 1.541624 0 0 0 0 0 0 511 2.978808 0.2427524 0.7905948 0 0 0 0 0 0 534 2.923902 0.3896932 0.2795672 0 0 0 0 0 0 556 2.183239 0.5304185 -0.2115259 0 0 0 0 0 0 578 1.550104 0.9619745 -0.4429058 0 0 0 0 0 0 601 0.9015186 1.52575 -0.6035959 0 0 0 0 0 0 623 0.09447837 1.625666 -1.180792 0 0 0 0 0 0 645 -0.7565145 1.472242 -1.655341 0 0 0 0 0 0 668 -1.194454 1.405633 -1.856854 0 0 0 0 0 0 690 -1.431222 1.383182 -1.599742 0 0 0 0 0 0 
53153,22 -1.52246 0.2951801 0.03560682 0 0 0 0 0 0 44 -2.003617 0.2945237 0.2216502 0 0 0 0 0 0 67 -2.27987 0.2630298 0.7925018 0 0 0 0 0 0 90 -3.032873 0.3621868 0.4734671 0 0 0 0 0 0 112 -3.484828 0.5017307 0.2530692 0 0 0 0 0 0 135 -4.113587 0.6473675 0.4002427 0 0 0 0 0 0 157 -4.702817 0.7427254 0.5398276 0 0 0 0 0 0 178 -5.094843 0.8896496 0.370025 0 0 0 0 0 0 201 -5.28433 0.9943137 0.4432231 0 0 0 0 0 0 224 -5.381171 1.154747 0.6115083 0 0 0 0 0 0 245 -5.328013 1.518587 0.491987 0 0 0 0 0 0 268 -5.108045 2.051679 0.1899407 0 0 0 0 0 0 290 -4.654875 2.413348 0.04733132 0 0 0 0 0 0 312 -4.180013 2.686023 0.1637093 0 0 0 0 0 0 335 -3.609861 3.119395 0.08275947 0 0 0 0 0 0 357 -2.82302 3.713096 -0.3629927 0 0 0 0 0 0 380 -1.711191 3.883814 -0.3713234 0 0 0 0 0 0 401 -0.8841575 3.594124 -0.09410885 0 0 0 0 0 0 424 0.1366686 3.198956 -0.05093053 0 0 0 0 0 0 446 0.9678711 3.386054 -0.2980649 0 0 0 0 0 0 468 1.540693 3.660713 -0.3266588 0 0 0 0 0 0 491 2.007297 3.995435 -0.1818061 0 0 0 0 0 0 513 2.800122 4.231027 0.317973 0 0 0 0 0 0 536 3.246781 4.022964 -0.09375083 0 0 0 0 0 0 558 3.665859 3.650692 0.04575777 0 0 0 0 0 0 580 3.916684 3.425864 0.6061306 0 0 0 0 0 0 603 4.321305 3.793842 0.05873728 0 0 0 0 0 0 626 4.63934 4.192703 -0.6978465 0 0 0 0 0 0 648 4.653273 4.125803 0.03081787 0 0 0 0 0 0 670 4.573547 3.395957 2.018538 0 0 0 0 0 0 692 4.375216 2.622903 3.281021 0 0 0 0 0 0 715 3.618487 2.554944 1.487498 0 0 0 0 0 0 737 2.430175 2.206512 -0.5904603 0 0 0 0 0 0 759 0.8938162 1.468234 -0.6941499 0 0 0 0 0 0 
54494,20 -4.02865 -0.1644363 -1.066667 0 0 0 0 0 0 42 -4.440844 0.5340692 -1.30935 0 0 0 0 0 0 65 -4.378182 0.9889935 -1.738544 0 0 0 0 0 0 87 -4.209374 1.269393 -2.312509 0 0 0 0 0 0 109 -4.140368 1.54539 -2.823357 0 0 0 0 0 0 132 -4.003882 2.121682 -3.257663 0 0 0 0 0 0 154 -3.653936 2.710671 -3.511737 0 0 0 0 0 0 176 -3.041285 3.14756 -3.496923 0 0 0 0 0 0 198 -2.385517 3.101621 -3.280576 0 0 0 0 0 0 221 -1.756905 3.065045 -3.162036 0 0 0 0 0 0 243 -0.9760932 3.136625 -2.501532 0 0 0 0 0 0 265 -0.1027739 3.409883 -2.188575 0 0 0 0 0 0 288 0.4061762 3.864084 -1.507337 0 0 0 0 0 0 310 0.7437016 4.320462 -0.5854159 0 0 0 0 0 0 332 1.005397 4.517107 -0.1730477 0 0 0 0 0 0 355 1.326233 4.354845 -0.4197009 0 0 0 0 0 0 377 1.567575 4.344078 -0.9873334 0 0 0 0 0 0 399 1.678082 4.405846 -0.3002706 0 0 0 0 0 0 422 1.813344 4.460215 -0.03424382 0 0 0 0 0 0 444 1.79089 4.767542 -0.6107746 0 0 0 0 0 0 467 1.601502 4.724299 -0.07809401 0 0 0 0 0 0 491 1.729075 4.01954 0.9010099 0 0 0 0 0 0 511 1.792218 3.362904 0.08482695 0 0 0 0 0 0 534 1.540429 2.333043 -0.8238587 0 0 0 0 0 0 556 1.373976 1.832248 -0.7940611 0 0 0 0 0 0 578 1.425154 1.586651 -0.751739 0 0 0 0 0 0 601 1.443196 1.622694 -0.9971017 0 0 0 0 0 0 623 1.211318 1.546609 -1.222622 0 0 0 0 0 0 645 0.9650154 1.2197 -1.203695 0 0 0 0 0 0 668 0.8003455 0.6708781 -1.771265 0 0 0 0 0 0 691 0.7600105 0.4181257 -2.344738 0 0 0 0 0 0 712 0.7646276 0.1989855 -1.656702 0 0 0 0 0 0 734 0.2358547 -0.2796116 -0.3709815 0 0 0 0 0 0 
56851,22 -2.153096 -0.3381148 0.6793105 0 0 0 0 0 0 44 -2.04856 -0.4951594 1.174829 0 0 0 0 0 0 66 -2.18644 -0.4885763 1.323041 0 0 0 0 0 0 89 -2.488842 -0.4631823 0.8085184 0 0 0 0 0 0 111 -2.621252 -0.3718795 0.4632025 0 0 0 0 0 0 134 -2.765007 -0.2271759 0.7646166 0 0 0 0 0 0 156 -3.148179 0.2862702 0.9099696 0 0 0 0 0 0 179 -3.244039 0.6845181 0.2982473 0 0 0 0 0 0 201 -3.281433 1.113006 -0.7098969 0 0 0 0 0 0 223 -3.425737 1.360812 -1.065393 0 0 0 0 0 0 245 -3.669992 1.514892 -0.7024701 0 0 0 0 0 0 267 -3.720041 1.816636 -0.8741531 0 0 0 0 0 0 290 -3.511686 2.237705 -1.426765 0 0 0 0 0 0 312 -3.259676 2.477691 -1.501858 0 0 0 0 0 0 335 -3.038116 2.611477 -1.15358 0 0 0 0 0 0 357 -2.670855 2.8124 -1.202892 0 0 0 0 0 0 379 -2.102337 2.932225 -1.187126 0 0 0 0 0 0 401 -1.593073 2.986353 -1.271271 0 0 0 0 0 0 424 -1.055707 2.915174 -1.021174 0 0 0 0 0 0 447 -0.7401274 2.849875 -1.158005 0 0 0 0 0 0 469 -0.5130913 2.826715 -0.8101547 0 0 0 0 0 0 491 -0.238694 3.047448 -0.6926852 0 0 0 0 0 0 514 -0.01168001 3.345268 -0.3694375 0 0 0 0 0 0 535 0.3023033 3.57577 -0.5242947 0 0 0 0 0 0 558 0.5920528 3.641982 -0.8708949 0 0 0 0 0 0 580 0.7610586 3.705787 -1.026221 0 0 0 0 0 0 603 0.7499832 3.932693 -1.197379 0 0 0 0 0 0 625 0.7818494 4.252288 -1.397695 0 0 0 0 0 0 647 1.045755 4.177253 -1.377747 0 0 0 0 0 0 669 1.408519 3.924719 -1.237702 0 0 0 0 0 0 692 1.848389 3.59876 -0.6559061 0 0 0 0 0 0 714 2.165926 3.094562 0.8124071 0 0 0 0 0 0 736 2.459063 2.383559 2.062731 0 0 0 0 0 0 759 2.774284 2.080823 1.573537 0 0 0 0 0 0 782 2.983643 1.754437 -0.0001227856 0 0 0 0 0 0 803 3.035976 1.18933 -0.4581267 0 0 0 0 0 0 826 2.879592 0.4727796 0.2991641 0 0 0 0 0 0 848 2.489567 -0.4136717 1.625422 0 0 0 0 0 0 870 2.110942 -1.514703 2.387014 0 0 0 0 0 0 894 1.983406 -2.461322 1.931195 0 0 0 0 0 0 916 2.032598 -3.376557 1.402389 0 0 0 0 0 0 937 1.962193 -3.876698 1.341835 0 0 0 0 0 0 960 1.884076 -3.553927 1.023017 0 0 0 0 0 0 
58337,21 -2.712048 -0.3660701 1.966127 0 0 0 0 0 0 42 -2.967661 -0.4099238 1.68197 0 0 0 0 0 0 65 -3.458644 -0.5122858 1.503374 0 0 0 0 0 0 87 -3.791634 -0.5970525 1.316628 0 0 0 0 0 0 109 -4.129748 -0.2822554 0.9113925 0 0 0 0 0 0 132 -4.457741 0.3235095 0.3956659 0 0 0 0 0 0 154 -4.205742 1.025055 -0.1907132 0 0 0 0 0 0 177 -3.571724 1.600395 -0.4072734 0 0 0 0 0 0 199 -2.992586 1.973767 -0.8518918 0 0 0 0 0 0 221 -2.47076 2.366638 -1.806081 0 0 0 0 0 0 243 -1.963731 2.717707 -1.710595 0 0 0 0 0 0 266 -1.301775 2.809564 -0.3858086 0 0 0 0 0 0 289 -0.8183352 2.612363 0.3581593 0 0 0 0 0 0 311 -0.3464918 2.521986 -0.09983397 0 0 0 0 0 0 334 0.290149 2.202542 -0.3287194 0 0 0 0 0 0 355 0.6878891 1.655089 0.2304211 0 0 0 0 0 0 378 0.8744593 1.284508 0.9808192 0 0 0 0 0 0 401 1.268634 1.104043 1.241909 0 0 0 0 0 0 422 1.851236 1.062887 0.7829019 0 0 0 0 0 0 445 2.179587 1.402113 0.2921608 0 0 0 0 0 0 467 2.416638 1.743688 0.02608252 0 0 0 0 0 0 489 2.535295 1.538877 0.4425942 0 0 0 0 0 0 511 2.451351 1.183572 0.9161855 0 0 0 0 0 0 534 2.410064 0.8232536 1.090736 0 0 0 0 0 0 557 2.291291 0.4398982 1.508523 0 0 0 0 0 0 579 2.205181 0.2806189 1.637874 0 0 0 0 0 0 601 2.310016 0.5115416 0.9637319 0 0 0 0 0 0 623 2.540466 0.9654924 0.4433389 0 0 0 0 0 0 645 2.584228 0.8458347 1.241909 0 0 0 0 0 0 667 2.075242 0.8697519 1.693766 0 0 0 0 0 0 690 1.431721 1.3347 0.08160508 0 0 0 0 0 0 
